New York Snow Depth, January 2018
"GHCN ID","Station Name",County,Elevation,Latitude,Longitude,"Jan 1","Jan 2","Jan 3","Jan 4","Jan 5","Jan 6","Jan 7","Jan 8","Jan 9"
US1NYER0075,"ELMA CENTER 0.7 SE","ERIE",872,-78.62,42.82,8.0,8.0,8.0,8.0,10.0,10.0,10.0,M,M
USC00302610,"ELMIRA","CHEMUNG",947,-76.84,42.10,1.0,1.0,M,1.0,1.0,1.0,1.0,M,M
US1NYCM0021,"ELMIRA 1.2 WNW","CHEMUNG",932,-76.83,42.10,0.2,T,T,T,0.1,0.1,0.1,0.0,M
US1NYCM0003,"ELMIRA 1.3 ESE","CHEMUNG",840,-76.79,42.08,M,M,M,M,M,M,0.0,M,M
US1NYCM0006,"ELMIRA 3.2 E","CHEMUNG",1120,-76.75,42.09,M,0.5,M,M,M,M,M,M,M
USC00305113,"EMMONS","OTSEGO",1225,-75.01,42.47,3.0,3.0,3.0,2.0,M,M,M,M,M
US1NYBM0004,"ENDICOTT 5.2 SSE","BROOME",1040,-76.02,42.03,M,1.5,M,M,2.5,M,M,M,M
US1NYNS0007,"FLORAL PARK 0.4 W","NASSAU",79,-73.71,40.72,M,M,M,1.6,13.1,M,M,M,M
USC00303025,"FRANKLINVILLE","CATTARAUGUS",1589,-78.46,42.33,12.0,12.0,M,12.0,12.0,12.0,12.0,13.0,M
US1NYCT0022,"FRANKLINVILLE 0.5 NNE","CATTARAUGUS",1603,-78.45,42.34,11.5,14.0,12.5,12.5,12.0,12.5,12.0,10.5,M
US1NYCQ0022,"FREDONIA 0.8 WNW","CHAUTAUQUA",680,-79.35,42.44,14.0,12.0,11.0,13.5,12.0,11.5,11.0,10.5,M
US1NYGR0006,"FREEHOLD 3.4 E","GREENE",754,-73.98,42.36,2.0,2.0,2.0,2.0,5.0,M,M,M,M
US1NYCR0001,"FREETOWN 1.0 NE","CORTLAND",1564,-76.02,42.53,4.0,4.5,4.5,4.5,5.5,5.5,5.5,5.0,M
USC00303050,"FREEVILLE 1 NE","TOMPKINS",1050,-76.33,42.52,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,M
US1NYTM0005,"FREEVILLE 1.5 NE","TOMPKINS",1073,-76.32,42.53,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,M
USC00303087,"FULTON","OSWEGO",360,-76.39,43.30,11.0,11.0,10.0,9.0,13.0,14.0,14.0,13.0,M
US1NYOS0020,"FULTON 0.2 W","OSWEGO",397,-76.42,43.32,13.5,13.5,13.5,13.5,14.0,14.0,18.0,15.5,M
USC00303184,"GENEVA RESEARCH FARM","ONTARIO",718,-77.03,42.88,3.0,4.0,M,3.0,3.0,3.0,3.0,3.0,M
USC00303250,"GLENFIELD 1W","LEWIS",1080,-75.43,43.71,19.0,19.0,18.0,17.0,17.0,17.0,17.0,17.0,M
US1NYER0063,"GLENWOOD 1.5 SE","ERIE",1411,-78.64,42.60,25.5,27.5,27.0,26.5,26.0,25.0,24.2,24.0,M
USC00303322,"GLOVERSVILLE 7NW   (PECK LAKE)","FULTON",1455,-74.42,43.12,10.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,M
USC00303346,"GOUVERNEUR 3 NW","ST. LAWRENCE",420,-75.51,44.35,12.0,M,13.0,11.0,10.0,10.0,9.0,M,M
USC00303444,"GREENE","CHENANGO",920,-75.77,42.32,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,M
US1NYSR0022,"GREENFIELD CENTER 1.6 W","SARATOGA",603,-73.88,43.13,M,M,11.5,11.5,12.5,12.5,M,12.5,M
US1NYGR0007,"GREENVILLE 0.7 E","GREENE",816,-74.01,42.41,3.5,3.5,3.5,3.5,7.0,7.0,6.5,6.0,M
US1NYTM0004,"GROTON 0.5 NW","TOMPKINS",1034,-76.37,42.59,4.0,4.0,5.0,5.0,7.0,5.0,5.0,5.0,M
US1NYER0039,"HAMBURG 0.4 WSW","ERIE",792,-78.84,42.72,14.0,13.5,13.0,14.0,12.0,11.5,10.5,9.5,M
US1NYSL0006,"HANNAWA FALLS 0.1 SW","ST. LAWRENCE",561,-74.97,44.61,12.0,12.5,13.0,13.0,15.0,15.5,15.5,17.0,M
US1NYOT0011,"HARTWICK","OTSEGO",1335,-75.05,42.66,3.5,3.5,3.0,2.5,5.0,5.5,5.5,5.0,M
US1NYMG0003,"HESSVILLE 1.8 WSW","MONTGOMERY",1050,-74.72,42.86,3.7,3.8,3.6,3.5,4.1,2.8,2.8,2.8,M
US1NYNS0018,"HICKSVILLE 1.3 ENE","NASSAU",150,-73.50,40.77,M,M,M,0.5,12.5,M,M,M,M
USC00303851,"HIGHMARKET","LEWIS",1763,-75.52,43.58,28.0,26.0,31.0,30.0,29.0,28.0,28.0,26.0,M
US1NYDL0025,"HOBART 4.8 ESE","DELAWARE",2220,-74.58,42.35,3.5,3.0,2.5,2.5,5.5,5.0,5.0,4.0,M
US1NYOD0007,"HOLLAND PATENT 1.5 WSW","ONEIDA",590,-75.29,43.24,6.0,7.0,6.5,7.0,6.0,7.0,7.0,10.0,M
USC00303955,"HONEOYE","ONTARIO",800,-77.51,42.79,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,M
US1NYMR0055,"HONEOYE FALLS 1.7 NE","MONROE",5730,-77.57,42.97,M,5.1,M,M,M,M,M,M,M
USC00303961,"HOOKER 12 NNW","LEWIS",1478,-75.72,43.85,24.0,24.0,39.0,37.0,35.0,M,M,M,M
US1NYDT0004,"HOPEWELL JUNCTION 2.4 SSE","DUTCHESS",279,-73.79,41.55,2.7,2.7,2.7,2.7,8.5,8.0,8.0,7.5,M
US1NYDT0020,"HOPEWELL JUNCTION 2.9 ENE","DUTCHESS",403,-73.75,41.61,M,M,M,8.0,M,M,M,M,M
USC00303983,"HORNELL ALMOND DAM","STEUBEN",1325,-77.70,42.35,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,M
US1NYCB0001,"HUDSON 8.2 S","COLUMBIA",298,-73.77,42.13,M,M,3.0,M,7.0,M,M,M,M
US1NYHR0016,"ILION 0.7 WSW","HERKIMER",528,-75.05,43.01,3.5,4.0,4.0,3.5,4.0,4.5,4.5,5.0,M
USC00304102,"INDIAN LAKE 2SW","HAMILTON",1660,-74.27,43.76,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,M
USW00004781,"ISLIP-LI MACARTHUR AP","SUFFOLK",84,-73.10,40.79,1.2,1.2,T,1.2,16.1,15.0,M,M,M
